Nr./ID;Dokument;Quelle;Anforderung;Keywords;Gefährdung;Beschreibung
1;BSI;G 3.1;Ausgedruckte personenbezogene oder sensible sollten Daten direkt abgeholt werden;Drucken;Vertrauliche personenbezogene oder sensible Daten werden öffentlich oder manipuliert;
2;;;Vertrauliche Daten sollten nicht in Hörweite fremder Personen besprochen werden oder in Sichtweite fremder Personen bearbeitet werden;Besprechung, Telefonat, Gespräch;Abhörung vertraulicher Daten;
3;;;Vertrauliche Daten müssen von Datenträgern irreversibel gelöscht werden, bevor diese versandt oder ausgemustert werden;Datenträger;Auslesung oder Änderung von vertraulichen Daten;
4;;;Dokumente sollten nicht auf einem Webserver veröffentlich werden ohne deren Freigabe zu prüfen;Webserver;Vertrauliche Dokumente können vom Webserver heruntergeladen werden;
5;;;Zugriffsrechte sollten minimal vergeben werden;Rolle, Rechte, RBAC;Vertrauliche Daten werden auf Grund falscher Rechte ausgelesen oder verändert;
6;;;Neue Software sollte mit anonymisierten Daten getesten werden;Anonymisierung, Testdaten;Unbefugte Mitarbeiter gelangen durch Testdaten an vertrauliche Informationen;
7;;;Ausdrucke mit vertraulichen Daten sollten geeignet entsorgt werden wenn diese nicht gebraucht werden;Drucken, Testdaten;Unbefugte Mitarbeiter gelangen durch Ausdrucke an vertrauliche Informationen;
8;;;Outsourcing-Dienstleister sollten auf Einhaltung der Vertraulichkeit und Integrität sensibler Daten hin verpflichtet und überprüft werden;Outsourcing, Prüfen;Vertrauliche Daten werden versehentlich durch Outsourcing-Diensleister falschen Mandanten zur Verfügung gestellt;
9;;G 3.2;Anwendungen / Programme sollten immer ordnungsgemäß beendet werden;Absturz, fehlerhafte Bedinung;Die Integrität von sensiblen Daten wird durch Abschalten des Rechners oder falschem Beenden des Programms beschädigt;
10;;;IT-Systeme und Geräte sollten von Feuchtigkeit ferngehalten werden;Kurzschluss, Feuchtigkeit, Absturz;Durch einen Kurzschluss auf Grund von Feuchtigkeit wird die Integrität von sensiblen Daten zerstört;
11;;;Bei der Formatierung von Datenträgern sollte äußerste Vorsichtigkeit geboten sein;Formatieren, Datenträger, Löschen;Durch eine falsch durchgeführte Formatierung werden sensible Daten gelöscht;
12;;;Bei der Löschung von Daten sollte äußerste Vorsichtigkeit geboten sein;Löschen, Daten;Durch einen falschen Löschbefehl werden sensible Daten gelöscht;
13;;G 3.3;Schlüssel für Orte mit schützenswerten Assets sollten hinreichend sicher aufbewahrt werden;Schlüssel, Datenträger;Ein unbefugter Mitarbeiter verschafft sich Zugang zum Schlüssel und damit Zugang zu dem Ort der schützenswerte Assets beinhaltet;
14;;;Es sollte eine ausreichend umfassende Datensicherung durchgeführt werden;Datensicherung, Schadsoftware, Backup;Sensible Daten werden ausversehen gelöscht und können durch unzureichende Datensicherung nicht wieder hergestellt werden;
15;;;Der Zutritt zu einem Ort mit schützenswerten Assets muss durch ein geeignetes Zutrittskontrollsystem gesichert sein;Rechenzentrum, Zugangskontrolle, Authentifizierung;Unbefugte Mitarbeiter verschaffen sich über eine unzureichend gesicherte Zugangskontrolle Zutritt zu schützenswerten Assets;
16;;;Die Fluchttür von Räumen mit schützenswerten Assets sollte geschlossen bleiben;Fluchttür, Tür, Zugangskontrolle;Unbefugte Mitarbeiter verschaffen sich über die Fluchttür Zugriff auf schützenswerte Assets;
17;;;Automatische Sicherungsvorgänge sollten regelmäßig auf ihre Funktionsfähigkeit hin überprüft werden;Datensicherung, Schadsoftware, Backup;Aktuelle sensible Daten sind nicht gesichert, da die automatische Sicherung seit einer gewissen Zeit nicht mehr fehlerfrei funktioniert;
18;;G 3.4;(Neue) Kabelverbindungen sollten auf ihre Zulässigkeit hin überprüft werden;Kabel, Datenverbindungen, Netzwerk;Falsche oder unzulässige Verkablung kann zu Datenverlust, unerlaubten Zugriff, Datenmanipulation und Fehlfunktionen führen;
19;;G 3.5;Kabel und Leitungen sollten geschützt verlegt werden;Kabel, Schutz, Schaden, Beschädigung, Verbindungsverlust;Kabel oder Leitungen, die nicht geschützt verlegt wurden, können (un-)beabsichtigt beschädigt werden, was zu Verbindungsabbrüchen oder ähnlichem führen kann;
20;;;Die Gesamtleistung von Steckdosen sollte nicht durch unzulässige Verteiler überschritten werden;Steckdose, Gesamtleistung, Ausfall;Die an einer überlasteten Steckdose angeschlossenen Geräte können ausfallen oder Fehlfunktionen haben;
21;;G 3.6;Besucher sollten sich niemals unbegleitet in der Firma aufhalten;Besucher, Begleitung, Zugangskontrolle;Besucher könnten an sensible Daten gelangen wenn sie sich unbegleitet in der Firma aufhalten;
22;;;Reinigungspersonal sollte niemals Veränderung am Arbeitsplatz von Mitarbeitern vornehmen;Reinigung, Reinigungspersonal, Arbeitsplatz;Reinigungspersonal kann Stecker entfernen oder Geräte ausschalten und damit ungesicherte Änderungen vernichten oder wichtige Unterlagen mit dem Müll entfernen;
23;;;Reinigungspersonal sollte sehr vorsichtig mit Flüssigkeiten in der nähe von elektrischen Systemen arbeiten;Feuchtigkeit, Kurzschluss;Reinigungspersonal kann mit Flüssigkeiten Kurzschlüsse bei elektrischen Geräten hervorrufen und so möglicherweise Rechner abstürzen lassen;
24;;;Die Daten von externen Mitarbeitern sollten auf Schadsoftware hin überprüft werden;Schadsoftware, externe Mitarbeiter;Ein externer Mitarbeiter kann Schadsoftware ins interne Netzwerk schleusen, in dem er seine Daten ins interne Netzwerk kopiert oder seinen Rechner ans interne Netzwerk anschließt;
25;;;Handwerker sollten an Orten mit schützenswerten Assets auf nötige Sicherheitsvorkehrungen hingewiesen werden;Schaden, Assets, Unfall, Handwerker;Handwerker können durch Unachtsamkeit oder mangelnde Einweisung Schäden an schützenswerten Assets hervorrufen;
26;;G 3.7;Telekommunikationsanlagen sollten durch Fachpersonal installiert, konfiguriert und bedient werden;Fachpersonal, Schaden, Telekommunikationsanlagen;Unsachgemäße Bedinung von Telekommunikationsanlagen kann zum Ausfall dieser führen;
27;;;Beim Übergang von klassischen Telekommunikationsanlagen zu VoIP Lösungen sollte die Mitarbeiter hinreichend geschult werden;Telekommunikationsanlage, VoIP, Schaden, Umstellung, Übergang, Fehlbedingung;Wenn Mitarbeiter vor der Umstellung von einer klassischen Telekommunikationsanlage auf eine VoIP Lösung nicht ausreichend geschult werden, kann es zu häufigen Fehlbedinungen kommen;
28;;;Wenn neue Telekommunikationssystem eingeführt werden, muss die Anbindung und Konfiguration hinreichend geprüft werden;Einführung, Telekommunikation, VoIP, Fehlbedingung;Wenn ein neues Telekommunikationssystem eingeführt wird, welches nicht ausreichend geprüft oder unsachgemäß konfiguriert wurde, kann es zum Ausfall der ganzen Kommunikationsinfrastruktur führen;
29;;;Bei der Konfiguration von VoIP Anlagen muss auf eine hinreichende Kompression geachtet werden;VoIP, Kompression, Konfiguration;Eine falsch gewählte Kompression für VoIP Anlagen kann zu einer Überlastung der Bandbreite des Netzwerks führen;
30;;G 3.8;Passwörter sollten eine Mindestlänge und -komplexität haben;Passwort, Login, Authentifizierung;Ein leicht zu erratendes Passwort kann unbefugten Zugriff auf sensible Daten gewähren;
31;;;Datenträger oder Systeme mit sensiblen Daten müssen ausreichend geschützt sein;Datenträger;Nicht ausreichend geschütze sensible Datenträger oder Sicherheitskopien können in die Hand von Unbefugten gelangen;
32;;;Auch bei vorübergehender Abwesenheit sollten Terminals / Endgeräte gesperrt werden;Terminal, Sperrung;Während der Abwesenheit des Mitarbeiters können unbefugte auf das Terminal und damit auf sensible Daten zugreifen ;
33;;;Mitarbeiter sollten für die Bedienung der beteiligten IT-Systeme und Anwendungen geschult sein;Schulung, Bedienung;Fehlerhafte Bedienung von IT-Systemen oder Anwendungen kann zum versehentlichen Löschen oder Verändern von Daten führen;
34;;G 3.9;Netzzugangsmöglichkeiten sollten über unbedingte Notwendigkeiten nicht hinausgehen;Netzwerk, Zugang, Login;Nicht ordnungsgemäße Netzzugangsmöglichkeiten können die Vertraulichkeit oder Integrität von sensiblen verletzen;
35;;;Neue und vorhandene Software und Systeme sollte immer fehlerfrei installiert und aktualisiert werden;Installation, Aktualisierung, Update, Software, System;Durch fehlerhafte Installation oder Aktualisierung von Software können Sicherheitsprobleme entstehen;
36;;;Standard-Installationen von Betriebssystemen und Software sollten auf eine sichere Konfiguration hin überprüft werden;Installation, Software, Betriebssystem, Konfiguration;Standard-Installationen von Betriebssystemen und Programmen können auf Grund unsicherer Konfiguration ein erhebliches Risiko darstellen;
37;;;Besonders sollte auf die richtige Konfiguration von System geachtet werden, die Einfluss auf den Schutz anderer Systeme haben;Router, Gateways, Konfiguration;Fehlerhafte Konfiguration von Routern oder Gateways kann zu erheblichen Sicherheitsproblemen bei allen im Netzwerk angeschlossenen Systemen führen;
38;;;Nicht mehr benötigte Benutzererkennungen sollten gelöschten werden;Login, Benutzerkonto, RBAC;Wenn nicht mehr benötige Benutzererkennungen nicht deaktiviert werden, kann ein Angreifer sich Zugriff verschaffen ohne bemerkt zu werden und darüber auf sensible Daten zugreifen;
39;;;Protokollierungsmöglichkeiten sollte genutzt und Protokolldaten regelmäßig ausgewertet werden;Protokoll, Auswertung, Analyse;Wenn Protokollierungsmöglichkeiten nicht genutzt oder vorhandene Protokolldaten nicht ausgewertet werden, können möglicherweise erfolgreiche Angriffe im Verborgenen bleiben;
40;;;Logindaten sollten niemals mehrfach vergeben werden;Login, UID, Benutzername;Mehrfach vergebene Logindaten oder UIDs können zu unbefugten Zugriff führen;
41;;;Vorhandene Sicherheitsmechnismen sollten genutzt werden;Sicherheitsmechnismus;Wenn vorhandene Sicherheitsmechnismen nicht genutzt werden, sind Angriffe leichter erfolgreich durchzuführen;
42;;;Passwörter sollten regelmäßig geändert werden;Passwort, Login;Wenn Passwörter nicht oft genug geändert werden steigt die Wahrscheinlichkeit, dass dieses erraten oder in Erfahrung gebracht wird;
43;;G 3.10;Beim Exportieren von Festplatten und Daten sollten die Dateisystem spezifischen Sicherheitsmängel beachtet werden. Gegebenfalls sollte auf ein Export verzichtet werden.;Exportieren, Datenträger, Daten;Wenn beim Exportieren von Datenträger und Daten nicht die Dateisystem spezifischen Sicherheitslücken beachtet werden, können sensible Daten in unbefugte Hände geraten;
44;;G 3.12;Beim Versand von wichtigen Datenträgern sollte ein sicheres und adäquates Behältnis gewählt werden;Versand, Datenträger, Behältnis;Wichtige Datenträger können beim Versand beschädigt, zerstört oder abhanden kommen. Wichtige Termine können nicht eingehalten werden;
45;;;Beim Versand von Datenträgern mit sensiblen Inhalt sollten diese ausreichend verschlüsselt sein;Versand, Datenträger, Verschlüsselung;Wenn Datenträger beim Versand verloren gehen oder gestohlen werden können unverschlüsselte Daten leichter von Unbefugten eingesehen oder verändert werden;
46;;G 3.13;Bei der Weitergabe von Informationen sollte immer darauf geachtet werden, dass nicht versehentlich andere sensible Daten mit übergeben werden;Versand, Datenträger, Daten, Übertragung;Wenn bei der Weitergabe von Daten nicht darauf geachtet wird, ob andere Daten mit übertragen werden, können sensible Daten unbewusste an Unbefugte ausgegeben werden;
47;;;Verteilerlisten und Adressstrukturen sollten regelmäßig auf ihre Aktualität hin überprüft und nicht mehr autorisierte Empfänger entfernt werden;Versand, Adressen, Verteiler, Empfänger;Wenn Verteilerlisten und Adressstrukturen nicht regelmäßig auf nicht mehr autorisierte Empfänger hin überprüft werden können sensible Daten an Unbefugte versendet werden;
48;;;Sensible Daten sollten nicht über physische Datenträger ausgetauscht sondern direkt über Datennetze geeignet geschützt versendet werden;Versand, Übertragung, Datenträger;Versendete Datenträger mit sensiblen Daten können leichter gestohlen oder kopiert werden;
49;;G 3.14;Die nicht immer gegebene Rechtsverbindlichkeit von Telefaxen sollte beachtet werden und gegebenfalls auf den Postweg zurückgegriffen werden;Fax, Versand, Rechtsverbindlichkeit;Bei rechtskritischen Belangen kann die Gültigkeit von Telefaxen angezweifelt werden;
50;;G 3.17;Wenn mehrere Benutzer an einem PC oder einer Software arbeiten, sollten diese sich immer ordnungsgemäß an- und abmelden;Login, Rechner, Protokoll, RBAC;Wenn sich ein PC von mehreren Benutzern geteilt wird ohne das diese sich ordnungsgemäß an- und abmelden, können Aktionen nicht mehr eindeutig zugeordnet werden. Der Benutzer, dessen Erkennung von allen verwendet wird, wird möglicherweise fälschlich für alles verantwortlich gemacht;
51;;G 3.21;Codeschlösser sollten immer fehlerfrei bedient und konfiguriert werden;Codeschlösser, Konfiguration, Reparatur;Die Fehlbedinung oder -konfiguration von Codeschlössern kann dazu führen, dass diese nicht mehr geöffnet werden können und aufgebrochen werden müssen. Das kann zu erheblichen Kosten für Reparatur oder Neubeschaffung führen;
52;;G 3.22;Die Konfiguration von Benutzerrechten eines Betriebssystems sollte nur Fachpersonal durchgeführt werden;Rechte, Konfiguration, Betriebssystem, RBAC;Wenn Benutzerrechte falsch oder fehlerhaft gesetzt werden, kann das zu einem Ausschluss aller oder des aktuellen Benutzers führen. Das Betriebssystem müsste neu aufgesetzt oder Hardwarekomponente neu installiert werden;
53;;G 3.25;Administratoren sollten nicht gelöscht werden und nur wenn es andere Administratoren gibt, die die Rechte des zu löschenden haben;Rechte, RBAC, Löschung;Wenn Administratoren gelöscht werden, ohne das es andere Administratoren mit überschneidenden Rechten gibt, kann das dazu führen, dass das System oder die Anwendung nicht mehr administriert werden. Eine aufwendige Neuinstallation kann nötig werden;
54;;G 3.27;Die Relevanz von korrekten Zeiteinstellung und einer möglichen Synchronisation von Systemzeiten bei verschiedenen Servern im gleichen Netz sollte beachtet werden;Server, Zeit, Synchronisation;Wenn die Systemzeiten auf verschiedenen Servern im gleichen Netz nicht synchronisiert sind, kann es dazu kommen, dass Protokolle unbrauchbar, Zeitstempel unkorrekt oder Reihenfolgen für Aufgaben nicht eingehalten werden;
55;;;In einem Netz, welches das Einzelreferenz-Verfahren zur Zeitsynchronisation nutzt, sollten bei einem Ausfall der Zeitquelle die Datei- und Objektrechte kontrolliert und gegebenenfalls entzogen werden;Server, Zeit, Rechte, RBAC;Kommt es in einem Netz, welches das Einzelreferenz-Verfahren zur Zeitsynchronisation nutzt, zum Ausfall der Zeitquelle, so ist keine Ersatzzeit mehr verfügbar. Dadurch können Datei- und Objektrechte unkontrolliert verändert werden. ;
56;;G 3.28;Bei einem Austauch einer Netzwerkkarte (oder generell Hardware) sollte geprüft werden, ob bei routenden Netzwerkgeräten MAC-Adressen aktualisiert werden müssen;Router, MAC Adresse, Hardware, Netzwerk;Wenn die zugehörigen MAC-Adresse nicht überprüft werden, kann es zu einem Verlust der Verfügbarkeit bestimmter oder aller Netzwerke auf diesem Endgerät kommen;
57;;G 3.29;Netzwerke sollten geeignet logisch und/oder physikalisch Segmentiert werden;Netzwerk, Segmentierung, Router, Ausfall, Last;Durch eine ungeeignete Segmentierung des Netzwerks kann es zu einer hohen Netzlast, zum Verlust der Vertraulichkeit und Integrität sensibler Daten oder gar zum Ausfall des Netzwerks führen;
58;;G 3.30;Arbeitsrechner im häuslichen Bereich sollten ausreichend vor unbefugter Nutzung geschützt werden;Rechner, zu Hause, Privat, Login;Wenn Dienstrechner nicht vor unbefugten Zugriff geschützt sind und diese mit nach Hause genommen oder dort fest installiert sind, kann es zu unbefugten Zugriff durch Gäste, Familienmitglieder oder Einbrecher kommen. Das versehentliche oder absichtliche Löschen, Kompromitieren, Kopieren und Weitergeben von sensiblen Daten oder Diensten kann eintreten.;
59;;;Arbeitsrechner sollten auch im häuslichen Bereich ausreichend vor Schadsoftware geschützt werden;Schadsortware, zu Hause, Privat, Rechner;Wenn Dienstrechner mit nach Hause genommen oder dort fest installiert sind und nicht ausreichend vor Schadsoftware geschützt sind, kann es passieren das diese in das Firmennetz gelangen oder auf sensible Daten oder Dienste zurückgreifen ;
60;;G 3.31;Es sollten ausreichende Vorgaben zur übersichtlichen und einheitlichen Speicherung der Daten gegeben werden;Daten, Vorgaben, Vereinheitlichung;Wenn sich die Speicherung von Daten durch die Mitarbeiter uneinheitlich oder unübersichtlich gestaltet, kann es zu Platzverschwendung, unabsichtlicher Löschung oder Überschreibung, unbefugten Zugriffen oder inkosistenter Versionierung kommen;
61;;G 3.32;Beim Einsatz von kryptographischen Produkten sind länderspezifische Gesetze zu beachten;Kryptographie, Gesetz, International;Da in manchen Ländern der Einsatz von Kryptographie gesetzlich beschränkt ist, kann es bei der verschlüsselten Kommunikation ins Ausland zu Verletzung von geltendem Recht kommen oder die Verbindung kommt nicht zu Stande bzw. der Empfänger ist nicht dazu im Stande die Kommunikation zu entschlüsseln;
